TRINITY_DN94_c2_g1	black	1
TRINITY_DN2700_c1_g1	blue	2
TRINITY_DN1118_c1_g1	brown	3
TRINITY_DN556_c6_g1	cyan	4
TRINITY_DN12504_c0_g1	darkgreen	5
TRINITY_DN981_c7_g1	darkgrey	6
TRINITY_DN153_c1_g1	darkmagenta	7
TRINITY_DN84386_c0_g1	darkolivegreen	8
TRINITY_DN134_c0_g1	darkorange	9
TRINITY_DN5343_c0_g1	darkorange2	10
TRINITY_DN1089_c0_g1	darkred	11
TRINITY_DN2375_c0_g2	darkturquoise	12
TRINITY_DN760_c1_g3	floralwhite	13
TRINITY_DN202_c0_g2	green	14
TRINITY_DN2310_c0_g1	greenyellow	15
TRINITY_DN1641_c0_g1	grey60	16
TRINITY_DN12703_c0_g4	ivory	17
TRINITY_DN2746_c0_g1	lightcyan	18
TRINITY_DN15786_c0_g1	lightcyan1	19
TRINITY_DN10645_c0_g1	lightgreen	20
TRINITY_DN10689_c0_g1	lightsteelblue1	21
TRINITY_DN805_c3_g1	lightyellow	22
TRINITY_DN1286_c0_g2	magenta	23
TRINITY_DN1861_c2_g1	mediumpurple3	24
TRINITY_DN9633_c0_g1	midnightblue	25
TRINITY_DN6247_c0_g2	orange	26
TRINITY_DN21908_c0_g1	orangered4	27
TRINITY_DN10537_c0_g1	paleturquoise	28
TRINITY_DN2714_c0_g1	pink	29
TRINITY_DN2743_c0_g2	plum1	30
TRINITY_DN1178_c0_g1	purple	31
TRINITY_DN2470_c0_g1	red	32
TRINITY_DN13803_c0_g1	royalblue	33
TRINITY_DN3683_c1_g1	saddlebrown	34
TRINITY_DN1539_c0_g1	salmon	35
TRINITY_DN1248_c0_g1	sienna3	36
TRINITY_DN16017_c0_g1	skyblue	37
TRINITY_DN3217_c1_g1	skyblue3	38
TRINITY_DN4835_c0_g1	steelblue	39
TRINITY_DN2943_c0_g2	tan	40
TRINITY_DN777_c0_g2	turquoise	41
TRINITY_DN27151_c0_g1	violet	42
TRINITY_DN11463_c0_g1	white	43
TRINITY_DN9954_c0_g1	yellow	44
TRINITY_DN2389_c0_g2	yellowgreen	45
