GO.ID	Significant	test
GO:0010243	9	0.00013
GO:0009725	29	0.00014
GO:0009873	8	0.00014
GO:0043207	18	0.00014
GO:0051707	18	0.00014
GO:0009607	19	0.00014
GO:0098542	15	0.00015
GO:0009719	29	0.00016
GO:0071369	8	0.00017
GO:0018193	22	0.00037
GO:0016310	59	0.00041
GO:0006355	41	0.00043
GO:1903506	41	0.00043
GO:2001141	41	0.00043
GO:0000160	9	0.00051
GO:1901700	24	0.00053
GO:1901698	9	0.00056
GO:0009863	4	0.00057
GO:0042221	43	0.00066
GO:0071446	4	0.00078
GO:0051252	41	0.00101
GO:0002229	4	0.00119
GO:0009723	8	0.00130
GO:0007166	7	0.00139
GO:0032774	44	0.00150
GO:0006351	42	0.00150
GO:0071236	4	0.00153
GO:0097659	42	0.00160
GO:0046677	7	0.00183
GO:0009856	8	0.00191
GO:0002239	4	0.00194
GO:0044706	8	0.00200
GO:0006796	69	0.00207
GO:0019219	41	0.00222
GO:0009751	5	0.00232
GO:0009605	20	0.00235
GO:2000112	41	0.00254
GO:0010556	41	0.00263
GO:0006793	69	0.00265
GO:0044267	80	0.00272
GO:0050832	7	0.00334
GO:0042537	4	0.00362
GO:0031326	41	0.00386
GO:0042742	8	0.00391
GO:0009889	41	0.00467
GO:0035690	4	0.00516
GO:0019538	88	0.00589
GO:0010468	43	0.00598
GO:0080090	45	0.00719
GO:0051171	44	0.00764
GO:0006970	9	0.00905
GO:0010224	3	0.00937
GO:0071495	18	0.00951
GO:0001101	16	0.00987
